Name,Website,Category
Zscaler,zscaler.com,Sourced
ZEN Computer Services,zenvideo.co.uk,Sourced
Zenoss,zenoss.com,Sourced
YanceyWorks,YanceyWorks.com,Sourced
Xignal,xignal-s1000d.com,Sourced
X88 SOftware,x88.com,Sourced
Sava,wwww.sava.co.uk,Sourced
Macromedia Europe,www-euro.macromedia.com,Sourced
IBM ,www-4.ibm.com/software/,Sourced
Mr Graham Knight,www3.mistral.co.uk/helmstone/tglobe,Sourced
